stream_code,universe_code,domain_code,name,entity_nature,path_type,source_cluster,source_subcluster,outcome_count,outcomes_raw,education_requirement,minimum_entry_stage,recommended_pathway,core_qualifications,normalization_basis,confidence,notes,governance_status,version,source_document
HUM-STR-PUB-DIGIPUBL,UNI-HUMANITIES,HUM-DOM-PUB,Digital Publishing,Knowledge Industry Stream,Humanities,"Entrepreneurial, Freelance/Hybrid, Hybrid, Niche/Hybrid",,7,Content Curator; Kindle Publisher; Digital Magazine Creator; Newsletter Publisher; Ebook Formatter; Book Metadata Specialist; Publishing Platform Manager,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDITPRAC,UNI-HUMANITIES,HUM-DOM-PUB,Editorial Practice,Knowledge Industry Stream,Humanities,"Freelance/Hybrid, Niche/Hybrid, Traditional Job, Traditional/Hybrid",,7,Book Editor; Copy Editor; Proofreader; Acquisition Editor; Commissioning Editor; Literary Scout; Manuscript Evaluator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDUCPUBL,UNI-HUMANITIES,HUM-DOM-PUB,Educational Publishing,Knowledge Industry Stream,Humanities,"Entrepreneurial, Entrepreneurial/Hybrid",,2,Educational Notes Publisher; Humanities Course Publisher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-HERIANDCULTPUBL,UNI-HUMANITIES,HUM-DOM-PUB,Heritage and Cultural Publishing,Knowledge Industry Stream,Humanities,"Entrepreneurial/Research-based, Research-based",,2,Archive Editor; Cultural Documentation Publisher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-KNOWCURAANDINFO,UNI-HUMANITIES,HUM-DOM-PUB,Knowledge Curation and Information Work,Knowledge Industry Stream,Humanities,New-age,,1,Knowledge Manager / Research Curator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-LITECRITANDREVI,UNI-HUMANITIES,HUM-DOM-PUB,Literary Criticism and Reviewing,Knowledge Industry Stream,Humanities,"Freelance/Portfolio, Niche/Freelance, Portfolio/Entrepreneurial, Research-based/Portfolio",,4,Literary Critic; Book Reviewer; Sensitivity Reader; Anthology Curator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-PRINONDEMAPUBL,UNI-HUMANITIES,HUM-DOM-PUB,Print-on-Demand Publishing,Knowledge Industry Stream,Humanities,Entrepreneurial,,1,POD Publishing Consultant,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-PUBL,UNI-HUMANITIES,HUM-DOM-PUB,Publishing,Knowledge Industry Stream,Humanities,"Niche, Traditional",,2,Book Editor; Literary Agent / Publishing Coordinator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-PUBLENTR,UNI-HUMANITIES,HUM-DOM-PUB,Publishing Entrepreneurship,Knowledge Industry Stream,Humanities,Entrepreneurial,,2,Independent Publisher; Literary Magazine Founder,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-PUBLOPER,UNI-HUMANITIES,HUM-DOM-PUB,Publishing Operations,Knowledge Industry Stream,Humanities,"Entry-level Traditional, Traditional Job",,3,Publishing Coordinator; Managing Editor; Editorial Assistant,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-REGILANGPUBL,UNI-HUMANITIES,HUM-DOM-PUB,Regional Language Publishing,Knowledge Industry Stream,Humanities,Entrepreneurial,,1,Regional Language Publisher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-SCREANDNARRDEVE,UNI-HUMANITIES,HUM-DOM-PUB,Screenwriting and Narrative Development,Knowledge Industry Stream,Humanities,Creative/New-age,,1,Scriptwriter - Film/OTT/Theatre,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-UXANDPRODWRIT,UNI-HUMANITIES,HUM-DOM-PUB,UX and Product Writing,Knowledge Industry Stream,Humanities,AI-era,,1,UX Writer / Content Designer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-WRITANDDOCU,UNI-HUMANITIES,HUM-DOM-PUB,Writing and Documentation,Knowledge Industry Stream,Humanities,Creative,,1,Creative Writer / Author,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-CULT-CULTCURA,UNI-HUMANITIES,HUM-DOM-CULT,Cultural Curation,Academic/Applied Stream,Humanities,Niche,,1,Festival Curator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-CULT-CULTENTR,UNI-HUMANITIES,HUM-DOM-CULT,Cultural Entrepreneurship,Academic/Applied Stream,Humanities,Entrepreneurial,,1,Cultural Entrepreneur,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-CULT-CULTANDORALHIST,UNI-HUMANITIES,HUM-DOM-CULT,Cultural and Oral-History Documentation,Academic/Applied Stream,Humanities,Niche,,1,Oral History Documenter,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-CULT-CULTANDARTSMANA,UNI-HUMANITIES,HUM-DOM-CULT,Culture and Arts Management,Academic/Applied Stream,Humanities,Practical,,1,Cultural Programme Coordinator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-CULT-GALLPRAC,UNI-HUMANITIES,HUM-DOM-CULT,Gallery Practice,Academic/Applied Stream,Humanities,Practical,,1,Art Gallery Coordinator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-CULT-PUBLHUMA,UNI-HUMANITIES,HUM-DOM-CULT,Public Humanities,Academic/Applied Stream,Humanities,New-age,,1,Independent Researcher / Public Humanities Creator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-DH-AICOMM,UNI-HUMANITIES,HUM-DOM-DH,AI Communication,Interdisciplinary Digital Stream,Humanities,Hybrid,,1,Prompt Designer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-DH-AIETHIANDGOVE,UNI-HUMANITIES,HUM-DOM-DH,AI Ethics and Governance,Interdisciplinary Digital Stream,Humanities,Research-based,,1,AI Ethics Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-DH-CONVAIANDHUMA,UNI-HUMANITIES,HUM-DOM-DH,Conversational AI and Human Interaction,Interdisciplinary Digital Stream,Humanities,Hybrid,,1,Conversational AI Trainer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-DH-DIGIHUMA,UNI-HUMANITIES,HUM-DOM-DH,Digital Humanities,Interdisciplinary Digital Stream,Humanities,Research-based,,1,Digital Humanities Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-DH-DIGISTOR,UNI-HUMANITIES,HUM-DOM-DH,Digital Storytelling,Interdisciplinary Digital Stream,Humanities,Entrepreneurial,,1,Podcast Storyteller,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-DH-HUMACENTUXCOMM,UNI-HUMANITIES,HUM-DOM-DH,Human-Centred UX Communication,Interdisciplinary Digital Stream,Humanities,Hybrid,,1,Narrative UX Writer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-DH-MEDITHOUANDSOCI,UNI-HUMANITIES,HUM-DOM-DH,"Media, Thought and Society",Interdisciplinary Digital Stream,Humanities,Hybrid,,1,Opinion Columnist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-DH-PUBL,UNI-HUMANITIES,HUM-DOM-DH,Publishing,Interdisciplinary Digital Stream,Humanities,Freelance,,1,Ghost Writer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-DH-WRITANDNARRSYST,UNI-HUMANITIES,HUM-DOM-DH,Writing and Narrative Systems,Interdisciplinary Digital Stream,Humanities,"Freelance, Portfolio Career",,2,Blog Writer; Long-form Essayist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-IKS-ANCIANDINDISTUD,UNI-HUMANITIES,HUM-DOM-IKS,Ancient and Indic Studies,Academic/Applied Stream,Humanities,Traditional Job,,1,Epigraphy Assistant,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-IKS-CULTSTUD,UNI-HUMANITIES,HUM-DOM-IKS,Cultural Studies,Academic/Applied Stream,Humanities,Niche / Portfolio Career,,1,Folk Culture Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-IKS-INDIKNOWSYST,UNI-HUMANITIES,HUM-DOM-IKS,Indian Knowledge Systems,Academic/Applied Stream,Humanities,Research-based,,2,IKS Researcher; Vedic Studies Scholar,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-IKS-INDIHERISTUD,UNI-HUMANITIES,HUM-DOM-IKS,Indic Heritage Studies,Academic/Applied Stream,Humanities,Research-based,,1,Oral Tradition Archivist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-IKS-TEMPANDSACRHERI,UNI-HUMANITIES,HUM-DOM-IKS,Temple and Sacred Heritage Interpretation,Academic/Applied Stream,Humanities,Self-Employment,,1,Temple Heritage Interpreter,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
